stname,date,temp,max,min,station
大坑,2020/01/01,16.9,20.6,15.1,C0F970
大坑,2020/01/02,18.1,24.6,13.9,C0F970
大坑,2020/01/03,18.4,23.7,14.7,C0F970
大坑,2020/01/04,19.2,24.2,16.2,C0F970
大坑,2020/01/05,19.5,24.6,15.8,C0F970
大坑,2020/01/06,19.4,23.7,17.8,C0F970
大坑,2020/01/07,20.5,26.5,16.4,C0F970
大坑,2020/01/08,19.5,25.3,15.6,C0F970
大坑,2020/01/09,18.8,25.1,14.7,C0F970
大坑,2020/01/10,18.9,25.1,15.1,C0F970
大坑,2020/01/11,18.4,23.8,14.9,C0F970
大坑,2020/01/12,16.1,20.3,13.6,C0F970
大坑,2020/01/13,16.4,...,...,C0F970
大坑,2020/01/14,17.9,23.7,13.9,C0F970
大坑,2020/01/15,17.4,23.9,12.5,C0F970
大坑,2020/01/16,18.5,25.0,13.2,C0F970
大坑,2020/01/17,16.5,21.1,13.2,C0F970
大坑,2020/01/18,15.5,21.1,12.4,C0F970
大坑,2020/01/19,16.4,21.4,13.8,C0F970
大坑,2020/01/20,17.0,24.3,13.4,C0F970
大坑,2020/01/21,17.5,24.8,11.8,C0F970
大坑,2020/01/22,20.4,26.9,15.4,C0F970
大坑,2020/01/23,20.6,...,...,C0F970
大坑,2020/01/24,20.9,25.2,17.9,C0F970
大坑,2020/01/25,20.3,26.1,17.1,C0F970
大坑,2020/01/26,17.4,20.1,14.8,C0F970
大坑,2020/01/27,15.9,18.6,14.3,C0F970
大坑,2020/01/28,13.9,16.1,12.0,C0F970
大坑,2020/01/29,12.7,16.2,10.8,C0F970
大坑,2020/01/30,11.6,16.5,9.0,C0F970
大坑,2020/01/31,12.9,19.9,8.2,C0F970
大坑,2020/02/01,13.9,20.8,8.4,C0F970
大坑,2020/02/02,16.0,22.2,10.1,C0F970
大坑,2020/02/03,17.3,22.2,13.0,C0F970
大坑,2020/02/04,16.2,17.2,15.1,C0F970
大坑,2020/02/05,16.9,21.7,14.2,C0F970
大坑,2020/02/06,17.8,24.5,12.9,C0F970
大坑,2020/02/07,17.2,23.0,14.7,C0F970
大坑,2020/02/08,15.9,21.2,13.9,C0F970
大坑,2020/02/09,15.4,19.1,13.1,C0F970
大坑,2020/02/10,17.2,23.3,12.6,C0F970
大坑,2020/02/11,18.8,23.0,15.4,C0F970
大坑,2020/02/12,21.6,28.8,16.1,C0F970
大坑,2020/02/13,22.5,28.8,18.0,C0F970
大坑,2020/02/14,22.3,28.6,17.9,C0F970
大坑,2020/02/15,23.5,29.4,19.1,C0F970
大坑,2020/02/16,16.5,23.8,11.0,C0F970
大坑,2020/02/17,12.1,16.2,9.9,C0F970
大坑,2020/02/18,13.9,20.5,8.9,C0F970
大坑,2020/02/19,15.4,22.9,10.5,C0F970
大坑,2020/02/20,17.4,23.0,12.7,C0F970
大坑,2020/02/21,17.7,22.0,15.4,C0F970
大坑,2020/02/22,18.9,25.5,14.1,C0F970
大坑,2020/02/23,20.0,26.7,15.1,C0F970
大坑,2020/02/24,20.1,26.6,15.2,C0F970
大坑,2020/02/25,22.2,28.8,16.7,C0F970
大坑,2020/02/26,22.5,28.4,17.7,C0F970
大坑,2020/02/27,20.7,25.8,17.6,C0F970
大坑,2020/02/28,20.7,25.4,17.5,C0F970
大坑,2020/02/29,23.2,27.8,18.0,C0F970
大坑,2020/03/01,21.9,28.1,18.9,C0F970
大坑,2020/03/02,20.0,25.5,16.6,C0F970
大坑,2020/03/03,20.9,27.1,16.1,C0F970
大坑,2020/03/04,19.9,24.5,15.6,C0F970
大坑,2020/03/05,15.9,19.6,13.8,C0F970
大坑,2020/03/06,19.2,24.2,14.8,C0F970
大坑,2020/03/07,22.2,...,...,C0F970
大坑,2020/03/08,22.8,27.0,18.5,C0F970
大坑,2020/03/09,26.5,31.2,19.4,C0F970
大坑,2020/03/10,19.9,24.1,17.3,C0F970
大坑,2020/03/11,19.0,...,...,C0F970
大坑,2020/03/12,20.6,24.5,18.4,C0F970
大坑,2020/03/13,22.1,28.5,18.7,C0F970
大坑,2020/03/14,17.3,20.7,15.2,C0F970
大坑,2020/03/15,18.5,...,...,C0F970
大坑,2020/03/16,21.1,...,...,C0F970
大坑,2020/03/17,21.2,26.4,16.3,C0F970
大坑,2020/03/18,20.8,24.9,17.6,C0F970
大坑,2020/03/19,22.0,...,...,C0F970
大坑,2020/03/20,22.0,25.3,20.2,C0F970
大坑,2020/03/21,23.4,28.6,18.8,C0F970
大坑,2020/03/22,25.1,...,...,C0F970
大坑,2020/03/23,26.7,...,...,C0F970
大坑,2020/03/24,25.9,...,...,C0F970
大坑,2020/03/25,25.6,...,...,C0F970
大坑,2020/03/26,30.3,...,...,C0F970
大坑,2020/03/27,26.3,31.9,22.3,C0F970
大坑,2020/03/28,20.5,24.9,15.8,C0F970
大坑,2020/03/29,19.5,26.4,14.7,C0F970
大坑,2020/03/30,21.3,24.5,19.5,C0F970
大坑,2020/03/31,23.3,29.4,19.4,C0F970
